# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
59592.94339120,-0.80914821,-0.68454126,0.11393187
59592.94350694,-0.80904976,-0.68257608,0.12579728
59592.94362269,-0.80884838,-0.68052405,0.13764668
59592.94373843,-0.80854407,-0.67838542,0.14947857
59592.94385417,-0.80813689,-0.67616047,0.16129143
59592.94396991,-0.80762689,-0.67384947,0.17308378
59592.94408565,-0.80701412,-0.67145273,0.18485409
59592.94420139,-0.80629868,-0.66897054,0.19660089
59592.94431713,-0.80548064,-0.66640322,0.20832267
59592.94443287,-0.80456012,-0.66375111,0.22001793
59592.94454861,-0.80353722,-0.66101452,0.23168521
59592.94466435,-0.80241209,-0.65819382,0.24332300
59592.94478009,-0.80118487,-0.65528936,0.25492982
59592.94489583,-0.79985570,-0.65230151,0.26650421
59592.94501157,-0.79842477,-0.64923066,0.27804469
59592.94512732,-0.79689225,-0.64607718,0.28954978
59592.94524306,-0.79525834,-0.64284148,0.30101803
59592.94535880,-0.79352324,-0.63952398,0.31244798
59592.94547454,-0.79168719,-0.63612509,0.32383817
59592.94559028,-0.78975040,-0.63264525,0.33518715
59592.94570602,-0.78771314,-0.62908490,0.34649348
59592.94582176,-0.78557566,-0.62544449,0.35775571
59592.94593750,-0.78333822,-0.62172448,0.36897243
59592.94605324,-0.78100113,-0.61792536,0.38014219
59592.94616898,-0.77856467,-0.61404760,0.39126358
59592.94628472,-0.77602915,-0.61009169,0.40233519
59592.94640046,-0.77339491,-0.60605814,0.41335560
59592.94651620,-0.77066227,-0.60194746,0.42432341
59592.94663194,-0.76783158,-0.59776018,0.43523723
59592.94674769,-0.76490320,-0.59349682,0.44609566
59592.94686343,-0.76187751,-0.58915793,0.45689734
59592.94697917,-0.75875490,-0.58474407,0.46764088
59592.94709491,-0.75553575,-0.58025579,0.47832491
59592.94721065,-0.75222049,-0.57569366,0.48894808
59592.94732639,-0.74880953,-0.57105827,0.49950903
59592.94744213,-0.74530331,-0.56635020,0.51000643
59592.94755787,-0.74170227,-0.56157005,0.52043893
59592.94767361,-0.73800688,-0.55671844,0.53080521
