# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
56658.50000000,0.35989566,-0.21541529,-1.03421506
56658.50011574,0.36681527,-0.22388525,-1.02997494
56658.50023148,0.37369442,-0.23233051,-1.02562088
56658.50034722,0.38053234,-0.24075014,-1.02115336
56658.50046296,0.38732828,-0.24914319,-1.01657288
56658.50057870,0.39408149,-0.25750876,-1.01187993
56658.50069444,0.40079121,-0.26584590,-1.00707503
56658.50081019,0.40745671,-0.27415370,-1.00215870
56658.50092593,0.41407725,-0.28243125,-0.99713148
56658.50104167,0.42065209,-0.29067761,-0.99199391
56658.50115741,0.42718051,-0.29889190,-0.98674657
56658.50127315,0.43366177,-0.30707318,-0.98139002
56658.50138889,0.44009518,-0.31522057,-0.97592486
56658.50150463,0.44648000,-0.32333315,-0.97035167
56658.50162037,0.45281553,-0.33141004,-0.96467107
56658.50173611,0.45910108,-0.33945033,-0.95888368
56658.50185185,0.46533593,-0.34745314,-0.95299014
56658.50196759,0.47151941,-0.35541757,-0.94699108
56658.50208333,0.47765082,-0.36334276,-0.94088717
56658.50219907,0.48372948,-0.37122781,-0.93467908
56658.50231481,0.48975472,-0.37907186,-0.92836748
56658.50243056,0.49572587,-0.38687403,-0.92195307
56658.50254630,0.50164227,-0.39463347,-0.91543655
56658.50266204,0.50750325,-0.40234931,-0.90881863
56658.50277778,0.51330817,-0.41002069,-0.90210004
56658.50289352,0.51905637,-0.41764677,-0.89528152
56658.50300926,0.52474723,-0.42522670,-0.88836381
56658.50312500,0.53038010,-0.43275964,-0.88134767
56658.50324074,0.53595437,-0.44024474,-0.87423388
56658.50335648,0.54146940,-0.44768119,-0.86702321
56658.50347222,0.54692459,-0.45506815,-0.85971645
56658.50358796,0.55231933,-0.46240481,-0.85231442
56658.50370370,0.55765301,-0.46969034,-0.84481791
56658.50381944,0.56292504,-0.47692394,-0.83722775
