# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55197.50000000,1.02264206,-0.00323686,0.50483703
55197.50011574,1.01746955,-0.00476026,0.51512593
55197.50023148,1.01219152,-0.00628316,0.52536127
55197.50034722,1.00680851,-0.00780542,0.53554199
55197.50046296,1.00132108,-0.00932688,0.54566703
55197.50057870,0.99572980,-0.01084737,0.55573533
55197.50069444,0.99003525,-0.01236674,0.56574585
55197.50081019,0.98423803,-0.01388483,0.57569754
55197.50092593,0.97833873,-0.01540149,0.58558938
55197.50104167,0.97233796,-0.01691655,0.59542034
55197.50115741,0.96623635,-0.01842987,0.60518938
55197.50127315,0.96003453,-0.01994128,0.61489550
55197.50138889,0.95373314,-0.02145062,0.62453769
55197.50150463,0.94733284,-0.02295775,0.63411495
55197.50162037,0.94083430,-0.02446250,0.64362627
55197.50173611,0.93423818,-0.02596472,0.65307068
55197.50185185,0.92754517,-0.02746425,0.66244719
55197.50196759,0.92075597,-0.02896094,0.67175482
55197.50208333,0.91387128,-0.03045463,0.68099262
55197.50219907,0.90689182,-0.03194517,0.69015961
55197.50231481,0.89981831,-0.03343240,0.69925484
55197.50243056,0.89265148,-0.03491617,0.70827738
55197.50254630,0.88539208,-0.03639632,0.71722628
55197.50266204,0.87804086,-0.03787271,0.72610062
55197.50277778,0.87059859,-0.03934517,0.73489947
55197.50289352,0.86306604,-0.04081356,0.74362192
55197.50300926,0.85544399,-0.04227772,0.75226705
55197.50312500,0.84773322,-0.04373751,0.76083399
55197.50324074,0.83993456,-0.04519276,0.76932183
55197.50335648,0.83204879,-0.04664334,0.77772969
55197.50347222,0.82407675,-0.04808909,0.78605670
55197.50358796,0.81601925,-0.04952985,0.79430199
55197.50370370,0.80787714,-0.05096549,0.80246472
55197.50381944,0.79965126,-0.05239585,0.81054402
55197.50393519,0.79134246,-0.05382078,0.81853907
55197.50405093,0.78295161,-0.05524014,0.82644904
55197.50416667,0.77447958,-0.05665377,0.83427309
55197.50428241,0.76592724,-0.05806154,0.84201042
55197.50439815,0.75729550,-0.05946330,0.84966023
55197.50451389,0.74858523,-0.06085890,0.85722173
55197.50462963,0.73979735,-0.06224819,0.86469412
55197.50474537,0.73093276,-0.06363104,0.87207663
55197.50486111,0.72199240,-0.06500730,0.87936850
55197.50497685,0.71297718,-0.06637683,0.88656897
55197.50509259,0.70388804,-0.06773948,0.89367729
55197.50520833,0.69472593,-0.06909512,0.90069272
55197.50532407,0.68549179,-0.07044360,0.90761454
55197.50543981,0.67618659,-0.07178478,0.91444204
55197.50555556,0.66681128,-0.07311853,0.92117449
55197.50567130,0.65736685,-0.07444471,0.92781120
55197.50578704,0.64785428,-0.07576318,0.93435149
55197.50590278,0.63827454,-0.07707380,0.94079467
55197.50601852,0.62862864,-0.07837644,0.94714008
55197.50613426,0.61891757,-0.07967096,0.95338706
55197.50625000,0.60914234,-0.08095723,0.95953496
