Date,Time,SolarCycle,Time Between Storms,PFU
4/30/1976,2120,SS21,597,12
9/19/1977,1430,SS21,507,200
11/22/1977,1400,SS21,64,160
2/13/1978,930,SS21,83,850
4/11/1978,1530,SS21,57,65
4/29/1978,445,SS21,18,1000
5/7/1978,420,SS21,8,100
6/2/1978,730,SS21,26,19
6/24/1978,900,SS21,22,25
7/13/1978,300,SS21,19,20
9/23/1978,1035,SS21,72,2200
11/10/1978,2130,SS21,48,38
2/17/1979,2020,SS21,99,31
4/3/1979,1600,SS21,45,45
6/6/1979,1850,SS21,64,950
7/7/1979,15,SS21,31,50
8/19/1979,850,SS21,43,500
9/15/1979,1500,SS21,27,60
11/16/1979,430,SS21,62,75
2/6/1980,1340,SS21,82,12
7/17/1980,2300,SS21,162,100
3/30/1981,900,SS21,256,30
4/10/1981,1745,SS21,11,50
4/24/1981,1515,SS21,14,160
5/9/1981,1200,SS21,15,150
5/15/1981,300,SS21,6,130
7/20/1981,1430,SS21,66,100
7/25/1981,600,SS21,5,18
8/10/1981,115,SS21,16,57
10/8/1981,1235,SS21,59,2000
12/10/1981,545,SS21,63,65
1/31/1982,55,SS21,52,830
6/6/1982,245,SS21,126,10
6/9/1982,40,SS21,3,30
7/11/1982,700,SS21,32,2900
7/22/1982,2030,SS21,11,240
9/5/1982,2205,SS21,45,66
11/22/1982,1940,SS21,78,40
11/26/1982,605,SS21,4,25
12/8/1982,10,SS21,12,1000
12/17/1982,1845,SS21,9,130
12/19/1982,1920,SS21,2,85
12/27/1982,600,SS21,8,190
2/3/1983,1200,SS21,38,340
6/15/1983,435,SS21,132,18
2/16/1984,915,SS21,246,660
2/19/1984,1310,SS21,3,55
3/13/1984,1440,SS21,23,10
3/14/1984,405,SS21,1,100
4/25/1984,1330,SS21,42,2500
5/24/1984,1045,SS21,29,31
5/31/1984,1315,SS21,7,15
1/22/1985,415,SS21,236,14
4/25/1985,1430,SS21,93,160
7/9/1985,235,SS21,75,140
2/6/1986,925,SS21,212,130
2/14/1986,1155,SS21,8,130
3/6/1986,1835,SS21,20,21
5/4/1986,1255,SS21,59,16
11/8/1987,200,SS22,553,120
1/2/1988,2325,SS22,55,92
3/25/1988,2225,SS22,83,58
6/30/1988,1055,SS22,97,21
8/26/1988,0,SS22,57,42
10/12/1988,920,SS22,47,12
11/8/1988,2225,SS22,27,13
11/14/1988,130,SS22,6,13
12/17/1988,610,SS22,33,18
12/17/1988,2000,SS22,0,29
1/4/1989,2305,SS22,18,28
3/8/1989,1735,SS22,63,3500
3/17/1989,1855,SS22,9,2000
3/23/1989,2040,SS22,6,53
4/11/1989,1435,SS22,19,450
5/5/1989,905,SS22,24,27
5/6/1989,235,SS22,1,110
5/23/1989,1135,SS22,17,68
5/24/1989,730,SS22,1,15
6/18/1989,1650,SS22,25,18
6/30/1989,655,SS22,12,17
7/1/1989,655,SS22,1,17
7/25/1989,900,SS22,24,54
8/12/1989,1600,SS22,18,9200
9/4/1989,120,SS22,23,44
9/12/1989,1935,SS22,8,57
9/29/1989,1205,SS22,17,4500
10/6/1989,50,SS22,7,22
10/19/1989,1305,SS22,13,40000
11/9/1989,240,SS22,21,43
11/15/1989,735,SS22,6,71
11/27/1989,2000,SS22,12,380
11/30/1989,1345,SS22,3,7300
3/19/1990,705,SS22,109,950
3/29/1990,915,SS22,10,16
4/7/1990,2240,SS22,9,18
4/11/1990,2120,SS22,4,13
4/17/1990,500,SS22,6,12
4/28/1990,1005,SS22,11,150
5/21/1990,2355,SS22,23,410
5/24/1990,2125,SS22,3,180
5/28/1990,715,SS22,4,45
6/12/1990,1140,SS22,15,79
7/26/1990,1720,SS22,44,21
8/1/1990,5,SS22,6,230
1/31/1991,1130,SS22,183,240
2/25/1991,1210,SS22,25,13
3/23/1991,820,SS22,26,43000
3/29/1991,2120,SS22,6,20
4/3/1991,815,SS22,5,52
5/13/1991,300,SS22,40,350
5/31/1991,1225,SS22,18,22
6/4/1991,820,SS22,4,3000
6/14/1991,2340,SS22,10,1400
6/30/1991,755,SS22,16,110
7/7/1991,455,SS22,7,2300
7/11/1991,240,SS22,4,30
7/11/1991,2255,SS22,0,14
8/26/1991,1740,SS22,46,240
10/1/1991,1740,SS22,36,12
10/28/1991,1300,SS22,27,40
10/30/1991,745,SS22,2,94
2/7/1992,645,SS22,100,78
3/16/1992,840,SS22,38,10
5/9/1992,1005,SS22,54,4600
6/25/1992,2045,SS22,47,390
8/6/1992,1145,SS22,42,14
10/30/1992,1920,SS22,85,2700
3/4/1993,1505,SS22,125,17
3/12/1993,2010,SS22,8,44
2/20/1994,300,SS22,345,10000
10/20/1994,30,SS22,242,35
10/20/1995,825,SS22,365,63
11/4/1997,830,SS23,746,72
11/6/1997,1305,SS23,2,490
4/20/1998,1400,SS23,165,1700
5/2/1998,1420,SS23,12,150
5/6/1998,845,SS23,4,210
8/24/1998,2355,SS23,110,670
9/25/1998,10,SS23,32,44
9/30/1998,1520,SS23,5,1200
11/8/1998,245,SS23,39,11
11/14/1998,810,SS23,6,310
1/23/1999,1105,SS23,70,14
4/24/1999,1804,SS23,91,32
