Device Name,Shielding,Storm Level,Upset Rate/Bit/Orbit,Probability of Survival/Bit/Mission,Upset Rate/Device/Orbit,Probability of Survival/Device/Mission
Xilinx UltraScale XCKU040 ConfigMem,5,1,4.72E-09,1,0.002504,0.9975
Xilinx UltraScale XCKU040 BlockRAM,5,1,9.49E-09,1,0.20498,0.81466
Xilinx Kintex-7 Config Mem,5,1,6.83E-09,1,0.0022273,0.99778
Xilinx Kintex-7 blockRAM,5,1,7.53E-08,1,1.2043,0.29991
UltraScale XQRKU060 Config,5,1,6.00E-09,1,0.0043563,0.99565
UltraScale XQRKU060 blockRAM,5,1,9.98E-09,1,0.37931,0.68433
Xilinx UltraScale XCKU040 ConfigMem,10,1,1.11E-09,1,0.00058711,0.99941
Xilinx UltraScale XCKU040 BlockRAM,10,1,2.08E-09,1,0.044956,0.95604
Xilinx Kintex-7 Config Mem,10,1,1.41E-09,1,0.0004591,0.99954
Xilinx Kintex-7 blockRAM,10,1,1.89E-08,1,0.30305,0.73856
UltraScale XQRKU060 Config,10,1,1.49E-09,1,0.0010844,0.99892
UltraScale XQRKU060 blockRAM,10,1,2.49E-09,1,0.094548,0.90978
Xilinx UltraScale XCKU040 ConfigMem,30,1,1.04E-10,1,5.50E-05,0.99994
Xilinx UltraScale XCKU040 BlockRAM,30,1,1.80E-10,1,0.0038795,0.99613
Xilinx Kintex-7 Config Mem,30,1,1.13E-10,1,3.68E-05,0.99996
Xilinx Kintex-7 blockRAM,30,1,1.91E-09,1,0.0305,0.96996
UltraScale XQRKU060 Config,30,1,1.48E-10,1,0.00010739,0.99989
UltraScale XQRKU060 blockRAM,30,1,2.56E-10,1,0.0097371,0.99031
Xilinx UltraScale XCKU040 ConfigMem,50,1,5.26E-11,1,2.79E-05,0.99997
Xilinx UltraScale XCKU040 BlockRAM,50,1,8.95E-11,1,0.0019329,0.99807
Xilinx Kintex-7 Config Mem,50,1,5.53E-11,1,1.80E-05,0.99998
Xilinx Kintex-7 blockRAM,50,1,9.76E-10,1,0.015624,0.9845
UltraScale XQRKU060 Config,50,1,7.50E-11,1,5.44E-05,0.99995
UltraScale XQRKU060 blockRAM,50,1,1.34E-10,1,0.0050953,0.99492
Xilinx UltraScale XCKU040 ConfigMem,80,1,3.50E-11,1,1.85E-05,0.99998
Xilinx UltraScale XCKU040 BlockRAM,80,1,6.07E-11,1,0.0013116,0.99869
Xilinx Kintex-7 Config Mem,80,1,3.90E-11,1,1.27E-05,0.99999
Xilinx Kintex-7 blockRAM,80,1,6.34E-10,1,0.010143,0.98991
UltraScale XQRKU060 Config,80,1,4.85E-11,1,3.52E-05,0.99996
UltraScale XQRKU060 blockRAM,80,1,9.00E-11,1,0.0034193,0.99659
Xilinx UltraScale XCKU040 ConfigMem,100,1,3.05E-11,1,1.62E-05,0.99998
Xilinx UltraScale XCKU040 BlockRAM,100,1,5.38E-11,1,0.0011622,0.99884
Xilinx Kintex-7 Config Mem,100,1,3.55E-11,1,1.16E-05,0.99999
Xilinx Kintex-7 blockRAM,100,1,5.44E-10,1,0.0087004,0.99134
UltraScale XQRKU060 Config,100,1,4.16E-11,1,3.02E-05,0.99997
UltraScale XQRKU060 blockRAM,100,1,7.85E-11,1,0.002984,0.99702
Xilinx UltraScale XCKU040 ConfigMem,200,1,2.34E-11,1,1.24E-05,0.99999
Xilinx UltraScale XCKU040 BlockRAM,200,1,4.25E-11,1,0.00091723,0.99908
Xilinx Kintex-7 Config Mem,200,1,2.93E-11,1,9.56E-06,0.99999
Xilinx Kintex-7 blockRAM,200,1,4.03E-10,1,0.0064532,0.99357
UltraScale XQRKU060 Config,200,1,3.08E-11,1,2.24E-05,0.99998
UltraScale XQRKU060 blockRAM,200,1,6.03E-11,1,0.0022923,0.99771
Xilinx UltraScale XCKU040 ConfigMem,300,1,2.09E-11,1,1.11E-05,0.99999
Xilinx UltraScale XCKU040 BlockRAM,300,1,3.81E-11,1,0.00082279,0.99918
Xilinx Kintex-7 Config Mem,300,1,2.64E-11,1,8.61E-06,0.99999
Xilinx Kintex-7 blockRAM,300,1,3.59E-10,1,0.0057413,0.99428
UltraScale XQRKU060 Config,300,1,2.73E-11,1,1.98E-05,0.99998
UltraScale XQRKU060 blockRAM,300,1,5.41E-11,1,0.0020571,0.99795
Xilinx UltraScale XCKU040 ConfigMem,5,2,5.34E-08,1,0.0283062,0.972091
Xilinx UltraScale XCKU040 BlockRAM,5,2,1.07E-07,1,2.31699,0.0985701
Xilinx Kintex-7 Config Mem,5,2,7.73E-08,1,0.0251913,0.975123
Xilinx Kintex-7 blockRAM,5,2,8.51E-07,0.999999,13.6206,1.22E-06
UltraScale XQRKU060 Config,5,2,6.80E-08,1,0.0493209,0.951876
UltraScale XQRKU060 blockRAM,5,2,1.13E-07,1,4.2897,0.013709
Xilinx UltraScale XCKU040 ConfigMem,10,2,1.40E-08,1,0.0074427,0.99258
Xilinx UltraScale XCKU040 BlockRAM,10,2,2.67E-08,1,0.57674,0.56173
Xilinx Kintex-7 Config Mem,10,2,1.84E-08,1,0.0059851,0.99403
Xilinx Kintex-7 blockRAM,10,2,2.37E-07,1,3.7933,0.022521
UltraScale XQRKU060 Config,10,2,1.88E-08,1,0.013659,0.98643
UltraScale XQRKU060 blockRAM,10,2,3.12E-08,1,1.1838,0.3061
Xilinx UltraScale XCKU040 ConfigMem,30,2,1.54E-09,1,0.00081845,0.99918
Xilinx UltraScale XCKU040 BlockRAM,30,2,2.59E-09,1,0.05594,0.9456
Xilinx Kintex-7 Config Mem,30,2,1.53E-09,1,0.00049762,0.9995
Xilinx Kintex-7 blockRAM,30,2,2.93E-08,1,0.46946,0.62534
UltraScale XQRKU060 Config,30,2,2.28E-09,1,0.0016509,0.99835
UltraScale XQRKU060 blockRAM,30,2,3.80E-09,1,0.14428,0.86565
Xilinx UltraScale XCKU040 ConfigMem,50,2,5.44E-10,1,0.00028858,0.99971
Xilinx UltraScale XCKU040 BlockRAM,50,2,8.69E-10,1,0.018768,0.98141
Xilinx Kintex-7 Config Mem,50,2,4.69E-10,1,0.00015281,0.99985
Xilinx Kintex-7 blockRAM,50,2,1.08E-08,1,0.1727,0.84139
UltraScale XQRKU060 Config,50,2,8.30E-10,1,0.00060221,0.9994
UltraScale XQRKU060 blockRAM,50,2,1.38E-09,1,0.052417,0.94893
Xilinx UltraScale XCKU040 ConfigMem,80,2,2.32E-10,1,0.0001232,0.99988
Xilinx UltraScale XCKU040 BlockRAM,80,2,3.58E-10,1,0.0077328,0.9923
Xilinx Kintex-7 Config Mem,80,2,1.79E-10,1,5.84E-05,0.99994
Xilinx Kintex-7 blockRAM,80,2,4.74E-09,1,0.07586,0.92695
UltraScale XQRKU060 Config,80,2,3.62E-10,1,0.00026283,0.99974
UltraScale XQRKU060 blockRAM,80,2,6.02E-10,1,0.022862,0.9774
Xilinx UltraScale XCKU040 ConfigMem,100,2,1.62E-10,1,8.58E-05,0.99991
